Subject,Start Date,All Day Event,Description
Odbiór śmieci,2024-01-08,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-01-10,TRUE,"choinki"
Odbiór śmieci,2024-01-12,TRUE,"metale i tworzywa sztuczne, papier"
Odbiór śmieci,2024-01-22,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-01-24,TRUE,"opakowania szklane"
Odbiór śmieci,2024-01-26,TRUE,"metale i tworzywa sztuczne, papier"
Odbiór śmieci,2024-02-05,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-02-07,TRUE,"choinki"
Odbiór śmieci,2024-02-09,TRUE,"metale i tworzywa sztuczne, papier"
Odbiór śmieci,2024-02-19,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-02-21,TRUE,"opakowania szklane"
Odbiór śmieci,2024-02-23,TRUE,"metale i tworzywa sztuczne, papier"
Odbiór śmieci,2024-03-04,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-03-08,TRUE,"metale i tworzywa sztuczne, papier"
Odbiór śmieci,2024-03-09,TRUE,"gabaryty"
Odbiór śmieci,2024-03-18,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-03-20,TRUE,"opakowania szklane"
Odbiór śmieci,2024-03-22,TRUE,"metale i tworzywa sztuczne, papier"
Odbiór śmieci,2024-03-29,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-04-04,TRUE,"zielone"
Odbiór śmieci,2024-04-05,TRUE,"metale i tworzywa sztuczne, papier"
Odbiór śmieci,2024-04-08,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-04-15,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-04-17,TRUE,"opakowania szklane"
Odbiór śmieci,2024-04-18,TRUE,"zielone"
Odbiór śmieci,2024-04-19,TRUE,"metale i tworzywa sztuczne, papier"
Odbiór śmieci,2024-04-22,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-04-29,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-05-02,TRUE,"zielone"
Odbiór śmieci,2024-05-06,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-05-08,TRUE,"metale i tworzywa sztuczne, papier"
Odbiór śmieci,2024-05-13,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-05-15,TRUE,"opakowania szklane"
Odbiór śmieci,2024-05-16,TRUE,"zielone"
Odbiór śmieci,2024-05-17,TRUE,"metale i tworzywa sztuczne, papier"
Odbiór śmieci,2024-05-20,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-05-27,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-05-29,TRUE,"zielone"
Odbiór śmieci,2024-05-31,TRUE,"metale i tworzywa sztuczne, papier"
Odbiór śmieci,2024-06-03,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-06-10,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-06-12,TRUE,"opakowania szklane"
Odbiór śmieci,2024-06-13,TRUE,"zielone"
Odbiór śmieci,2024-06-14,TRUE,"metale i tworzywa sztuczne, papier"
Odbiór śmieci,2024-06-17,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-06-24,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-06-27,TRUE,"zielone"
Odbiór śmieci,2024-06-28,TRUE,"metale i tworzywa sztuczne, papier"
Odbiór śmieci,2024-07-01,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-07-08,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-07-10,TRUE,"opakowania szklane"
Odbiór śmieci,2024-07-11,TRUE,"zielone"
Odbiór śmieci,2024-07-12,TRUE,"metale i tworzywa sztuczne, papier"
Odbiór śmieci,2024-07-15,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-07-22,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-07-25,TRUE,"zielone"
Odbiór śmieci,2024-07-26,TRUE,"metale i tworzywa sztuczne, papier"
Odbiór śmieci,2024-07-29,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-08-05,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-08-07,TRUE,"opakowania szklane"
Odbiór śmieci,2024-08-08,TRUE,"zielone"
Odbiór śmieci,2024-08-09,TRUE,"metale i tworzywa sztuczne, papier"
Odbiór śmieci,2024-08-12,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-08-19,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-08-22,TRUE,"zielone"
Odbiór śmieci,2024-08-23,TRUE,"metale i tworzywa sztuczne, papier"
Odbiór śmieci,2024-08-26,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-09-02,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-09-05,TRUE,"zielone"
Odbiór śmieci,2024-09-06,TRUE,"metale i tworzywa sztuczne, papier"
Odbiór śmieci,2024-09-09,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-09-14,TRUE,"gabaryty"
Odbiór śmieci,2024-09-16,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-09-18,TRUE,"opakowania szklane"
Odbiór śmieci,2024-09-19,TRUE,"zielone"
Odbiór śmieci,2024-09-20,TRUE,"metale i tworzywa sztuczne, papier"
Odbiór śmieci,2024-09-23,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-09-30,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-10-03,TRUE,"zielone"
Odbiór śmieci,2024-10-04,TRUE,"metale i tworzywa sztuczne, papier"
Odbiór śmieci,2024-10-07,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-10-14,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-10-16,TRUE,"opakowania szklane"
Odbiór śmieci,2024-10-17,TRUE,"zielone"
Odbiór śmieci,2024-10-18,TRUE,"metale i tworzywa sztuczne, papier"
Odbiór śmieci,2024-10-21,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-10-28,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-10-30,TRUE,"metale i tworzywa sztuczne, papier"
Odbiór śmieci,2024-10-31,TRUE,"zielone"
Odbiór śmieci,2024-11-04,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-11-06,TRUE,"opakowania szklane"
Odbiór śmieci,2024-11-13,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-11-14,TRUE,"zielone"
Odbiór śmieci,2024-11-15,TRUE,"metale i tworzywa sztuczne, papier"
Odbiór śmieci,2024-11-18,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-11-25,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-11-28,TRUE,"zielone"
Odbiór śmieci,2024-11-29,TRUE,"metale i tworzywa sztuczne, papier"
Odbiór śmieci,2024-12-09,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-12-11,TRUE,"opakowania szklane"
Odbiór śmieci,2024-12-13,TRUE,"metale i tworzywa sztuczne, papier"
Odbiór śmieci,2024-12-23,TRUE,"biodegradowalne, odpady zmieszane"
Odbiór śmieci,2024-12-27,TRUE,"metale i tworzywa sztuczne, papier"
