Subject,Start Date,All Day Event,Description
Odbiór śmieci,2025-01-02,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-01-08,TRUE,"papier, metale i tworzywa sztuczne"
Odbiór śmieci,2025-01-09,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-01-10,TRUE,"choinki"
Odbiór śmieci,2025-01-16,TRUE,"opakowania szklane"
Odbiór śmieci,2025-01-17,TRUE,"papier, metale i tworzywa sztuczne"
Odbiór śmieci,2025-01-20,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-01-29,TRUE,"papier, metale i tworzywa sztuczne"
Odbiór śmieci,2025-02-03,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-02-07,TRUE,"choinki"
Odbiór śmieci,2025-02-12,TRUE,"papier, metale i tworzywa sztuczne"
Odbiór śmieci,2025-02-13,TRUE,"opakowania szklane"
Odbiór śmieci,2025-02-17,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-02-26,TRUE,"papier, metale i tworzywa sztuczne"
Odbiór śmieci,2025-03-03,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-03-12,TRUE,"papier, metale i tworzywa sztuczne"
Odbiór śmieci,2025-03-13,TRUE,"opakowania szklane"
Odbiór śmieci,2025-03-17,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-03-26,TRUE,"papier, metale i tworzywa sztuczne"
Odbiór śmieci,2025-03-28,TRUE,"gabaryty"
Odbiór śmieci,2025-03-31,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-04-07,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-04-09,TRUE,"papier, metale i tworzywa sztuczne"
Odbiór śmieci,2025-04-10,TRUE,"opakowania szklane"
Odbiór śmieci,2025-04-11,TRUE,"zielone"
Odbiór śmieci,2025-04-14,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-04-23,TRUE,"papier, metale i tworzywa sztuczne"
Odbiór śmieci,2025-04-24,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-04-25,TRUE,"zielone"
Odbiór śmieci,2025-04-28,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-05-05,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-05-07,TRUE,"papier, metale i tworzywa sztuczne"
Odbiór śmieci,2025-05-08,TRUE,"opakowania szklane"
Odbiór śmieci,2025-05-09,TRUE,"zielone"
Odbiór śmieci,2025-05-12,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-05-19,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-05-21,TRUE,"papier, metale i tworzywa sztuczne"
Odbiór śmieci,2025-05-23,TRUE,"zielone"
Odbiór śmieci,2025-05-26,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-06-02,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-06-04,TRUE,"papier, metale i tworzywa sztuczne"
Odbiór śmieci,2025-06-05,TRUE,"opakowania szklane"
Odbiór śmieci,2025-06-06,TRUE,"zielone"
Odbiór śmieci,2025-06-09,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-06-16,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-06-18,TRUE,"papier, metale i tworzywa sztuczne"
Odbiór śmieci,2025-06-20,TRUE,"zielone"
Odbiór śmieci,2025-06-23,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-06-30,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-07-02,TRUE,"papier, metale i tworzywa sztuczne"
Odbiór śmieci,2025-07-04,TRUE,"zielone"
Odbiór śmieci,2025-07-07,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-07-14,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-07-16,TRUE,"papier, metale i tworzywa sztuczne"
Odbiór śmieci,2025-07-17,TRUE,"opakowania szklane"
Odbiór śmieci,2025-07-18,TRUE,"zielone"
Odbiór śmieci,2025-07-21,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-07-28,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-07-30,TRUE,"papier, metale i tworzywa sztuczne"
Odbiór śmieci,2025-08-01,TRUE,"zielone"
Odbiór śmieci,2025-08-04,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-08-11,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-08-13,TRUE,"papier, metale i tworzywa sztuczne"
Odbiór śmieci,2025-08-14,TRUE,"zielone"
Odbiór śmieci,2025-08-18,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-08-21,TRUE,"opakowania szklane"
Odbiór śmieci,2025-08-25,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-08-27,TRUE,"papier, metale i tworzywa sztuczne"
Odbiór śmieci,2025-08-29,TRUE,"zielone"
Odbiór śmieci,2025-09-01,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-09-08,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-09-10,TRUE,"papier, metale i tworzywa sztuczne"
Odbiór śmieci,2025-09-12,TRUE,"zielone"
Odbiór śmieci,2025-09-15,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-09-18,TRUE,"gabaryty"
Odbiór śmieci,2025-09-22,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-09-23,TRUE,"opakowania szklane"
Odbiór śmieci,2025-09-24,TRUE,"papier, metale i tworzywa sztuczne"
Odbiór śmieci,2025-09-25,TRUE,"opakowania szklane"
Odbiór śmieci,2025-09-26,TRUE,"zielone"
Odbiór śmieci,2025-09-29,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-10-06,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-10-08,TRUE,"papier, metale i tworzywa sztuczne"
Odbiór śmieci,2025-10-10,TRUE,"zielone"
Odbiór śmieci,2025-10-13,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-10-20,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-10-22,TRUE,"papier, metale i tworzywa sztuczne"
Odbiór śmieci,2025-10-24,TRUE,"zielone"
Odbiór śmieci,2025-10-27,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-11-03,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-11-05,TRUE,"papier, metale i tworzywa sztuczne"
Odbiór śmieci,2025-11-07,TRUE,"zielone"
Odbiór śmieci,2025-11-10,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-11-17,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-11-19,TRUE,"papier, metale i tworzywa sztuczne"
Odbiór śmieci,2025-11-20,TRUE,"opakowania szklane"
Odbiór śmieci,2025-11-21,TRUE,"zielone"
Odbiór śmieci,2025-11-24,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-12-03,TRUE,"papier, metale i tworzywa sztuczne"
Odbiór śmieci,2025-12-05,TRUE,"zielone"
Odbiór śmieci,2025-12-08,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-12-17,TRUE,"papier, metale i tworzywa sztuczne"
Odbiór śmieci,2025-12-18,TRUE,"opakowania szklane"
Odbiór śmieci,2025-12-22,TRUE,"zmieszane i biodegradowalne"
Odbiór śmieci,2025-12-31,TRUE,"papier, metale i tworzywa sztuczne"
